"title,artist,album,duration,url"
"Flesh From Bone,"""","""",""4:19"",""https://music.youtube.com/watch?v=sjXx0Y9S6Ek&list=LM"""
"The Anger Song,"""","""",""4:22"",""https://music.youtube.com/watch?v=vjju8w1T9kQ&list=LM"""
"Bitches Brew,"""","""",""3:29"",""https://music.youtube.com/watch?v=rZsthN6UDqI&list=LM"""
"Burn The Bones,"""","""",""2:55"",""https://music.youtube.com/watch?v=Xb1iGsAnWTQ&list=LM"""
"The Abyss Looks into Me,"""","""",""9:03"",""https://music.youtube.com/watch?v=OdPNFTruxfc&list=LM"""
"The Magic of Nature,"""","""",""7:25"",""https://music.youtube.com/watch?v=uD3mOE6ce4E&list=LM"""
"Chanson d'automne,"""","""",""7:40"",""https://music.youtube.com/watch?v=1YkkSWMF__g&list=LM"""
"Black Crown,"""","""",""5:44"",""https://music.youtube.com/watch?v=arPa6weKiOk&list=LM"""
"The Throne Abandoned,"""","""",""8:54"",""https://music.youtube.com/watch?v=ECV5QFvQ6Kw&list=LM"""
"Forsaken,"""","""",""3:50"",""https://music.youtube.com/watch?v=cYXkbTsoEe8&list=LM"""
"Age of Rest,"""","""",""4:11"",""https://music.youtube.com/watch?v=MmR-uQbz92g&list=LM"""
"Watchtower,"""","""",""4:55"",""https://music.youtube.com/watch?v=KRR7K1fySAc&list=LM"""
"Illa Ti?andi,"""","""",""6:04"",""https://music.youtube.com/watch?v=Qe6MLLJjCRA&list=LM"""
"Serpent's,"""","""",""4:29"",""https://music.youtube.com/watch?v=zZojzJs78_4&list=LM"""
"Spirituelles Equilibrium,"""","""",""4:39"",""https://music.youtube.com/watch?v=O5_n1689nvA&list=LM"""
"Soulscape,"""","""",""13:14"",""https://music.youtube.com/watch?v=NmtJj0I-uo8&list=LM"""
"Anhedonia,"""","""",""5:22"",""https://music.youtube.com/watch?v=hj4QcKs4kpo&list=LM"""
"You Lied,"""","""",""6:55"",""https://music.youtube.com/watch?v=Br4SbTLIlMI&list=LM"""
"Tool - You Lied [HD],"""","""",""9:18"",""https://music.youtube.com/watch?v=jmkRHo4Vca4&list=LM"""
"Sargeist - Empire of Suffering (Piano Cover),"""","""",""5:49"",""https://music.youtube.com/watch?v=2k2h-aAOnIQ&list=LM"""
"Forlorn in Silence,"""","""",""3:51"",""https://music.youtube.com/watch?v=kSasHgpZ5wM&list=LM"""
"Locked, Empty Room,"""","""",""9:13"",""https://music.youtube.com/watch?v=Tl4mQyHpQfw&list=LM"""
"Siren,"""","""",""5:26"",""https://music.youtube.com/watch?v=3dIhgIWf9mo&list=LM"""
"Bored,"""","""",""3:11"",""https://music.youtube.com/watch?v=VMZfYe9nQLA&list=LM"""
"Indigo,"""","""",""3:12"",""https://music.youtube.com/watch?v=nELjxfDvcK4&list=LM"""
"Dimensional Bleed,"""","""",""2:40"",""https://music.youtube.com/watch?v=yGf_nSF6P4s&list=LM"""
"Swan,"""","""",""3:16"",""https://music.youtube.com/watch?v=MqcgiL2w2w4&list=LM"""
"Flood Street,"""","""",""3:03"",""https://music.youtube.com/watch?v=pAXAfC8I0Bs&list=LM"""
"Maggot Brain,"""","""",""3:02"",""https://music.youtube.com/watch?v=Mrez09sVPY0&list=LM"""
"Die Toteninsel (Shooting Stars),"""","""",""3:36"",""https://music.youtube.com/watch?v=OMSRzkMupEw&list=LM"""
"Never Came Home,"""","""",""9:03"",""https://music.youtube.com/watch?v=zV6cAq2AwFM&list=LM"""
"Everybody Dies Alone,"""","""",""6:13"",""https://music.youtube.com/watch?v=J6swnK7dihM&list=LM"""
"The Killing Tent,"""","""",""4:19"",""https://music.youtube.com/watch?v=7e9CkK2RYEk&list=LM"""
"Sonder,"""","""",""3:32"",""https://music.youtube.com/watch?v=Sj7C1fqWKs8&list=LM"""
"Room,"""","""",""7:31"",""https://music.youtube.com/watch?v=wXFc79MvD0U&list=LM"""
"Voice of Slumber,"""","""",""4:53"",""https://music.youtube.com/watch?v=HIh8W95gVPE&list=LM"""
"Dismantling Devotion,"""","""",""7:00"",""https://music.youtube.com/watch?v=dsHiYA2Vv4I&list=LM"""
"Endurance,"""","""",""5:00"",""https://music.youtube.com/watch?v=hHJlu6CpdV0&list=LM"""
"Unwinding Spirits (feat. Manuel Gagneux),"""","""",""9:35"",""https://music.youtube.com/watch?v=zLydnqChXIs&list=LM"""
"I Want To Touch You,"""","""",""3:55"",""https://music.youtube.com/watch?v=-ZsZHfWbTHs&list=LM"""
"Chikoi The Maid - Wishes,"""","""",""6:02"",""https://music.youtube.com/watch?v=twpkb08f0Ek&list=LM"""
"Where I Go,"""","""",""3:43"",""https://music.youtube.com/watch?v=4akKONBlwuY&list=LM"""
"Angel,"""","""",""3:20"",""https://music.youtube.com/watch?v=rIBWBrJzXU0&list=LM"""
"Hymn Til D?den,"""","""",""3:52"",""https://music.youtube.com/watch?v=BNC7mYKxUpg&list=LM"""
"Utrenia,"""","""",""5:27"",""https://music.youtube.com/watch?v=mPRfKPZHIJQ&list=LM"""
"Seeds of the Desolate,"""","""",""6:31"",""https://music.youtube.com/watch?v=buVfH01JzqU&list=LM"""
"Begeerte,"""","""",""6:44"",""https://music.youtube.com/watch?v=mYjyybh0nBc&list=LM"""
"Waiting for the Light,"""","""",""4:42"",""https://music.youtube.com/watch?v=sjATIHdVBQA&list=LM"""
"Beneath the Fading Sun,"""","""",""4:26"",""https://music.youtube.com/watch?v=RHvxBiGlAOI&list=LM"""
"No One,"""","""",""3:25"",""https://music.youtube.com/watch?v=XG8uWllgVYo&list=LM"""
"Empty Faith,"""","""",""3:59"",""https://music.youtube.com/watch?v=VmheYrUzazs&list=LM"""
"I can't do it no more,"""","""",""3:15"",""https://music.youtube.com/watch?v=uS1bjGPyry8&list=LM"""
"SILENCER - Sterile Nails and Thunderbowels (intrumental),"""","""",""6:19"",""https://music.youtube.com/watch?v=zn947d8m5mg&list=LM"""
"Bittersweet Mary,"""","""",""3:55"",""https://music.youtube.com/watch?v=GWtK3ENk9bI&list=LM"""
"Through Corridors of Oppression,"""","""",""4:08"",""https://music.youtube.com/watch?v=BPGqhCCsJ58&list=LM"""
"Livets L?nga Resa,"""","""",""5:15"",""https://music.youtube.com/watch?v=PeJnhsCXNtw&list=LM"""
"Night's Blood,"""","""",""6:42"",""https://music.youtube.com/watch?v=b1zuqV7L6dk&list=LM"""
"We remain,"""","""",""6:14"",""https://music.youtube.com/watch?v=dw5PSEXkNfo&list=LM"""
"Tystnadsplikt,"""","""",""4:02"",""https://music.youtube.com/watch?v=zWuztbdQINw&list=LM"""
"Longing for an End,"""","""",""7:08"",""https://music.youtube.com/watch?v=PsS5v7468kk&list=LM"""
"The day i finally left my pain behind,"""","""",""6:07"",""https://music.youtube.com/watch?v=bArJ_6kwhOg&list=LM"""
"Sink Into Sin - II,"""","""",""3:34"",""https://music.youtube.com/watch?v=yUYZtB5WnNY&list=LM"""
"NOBODYINFACT - SUBTELNO?? (from CZELU?? #5 compilation),"""","""",""3:50"",""https://music.youtube.com/watch?v=9nV0_zWJgSY&list=LM"""
"Silent Circus,"""","""",""2:56"",""https://music.youtube.com/watch?v=sYWayhJUETc&list=LM"""
"one last touch... (dsbm),"""","""",""3:24"",""https://music.youtube.com/watch?v=BIPHGJIiXyM&list=LM"""
"Get Away (feat. Joao),"""","""",""4:36"",""https://music.youtube.com/watch?v=6ZhuOd_0-Ps&list=LM"""
"Adore the Distance,"""","""",""4:38"",""https://music.youtube.com/watch?v=Rrm9cXax4eE&list=LM"""
"Fixate,"""","""",""3:00"",""https://music.youtube.com/watch?v=CIhEitxSj9g&list=LM"""
"MAX: PANAMA,"""","""",""4:10"",""https://music.youtube.com/watch?v=5-FpvsrhQQ4&list=LM"""
"Enemy,"""","""",""4:34"",""https://music.youtube.com/watch?v=JDNvFXzjthk&list=LM"""
"IV,"""","""",""4:52"",""https://music.youtube.com/watch?v=TN11fSeBPC4&list=LM"""
"Realize Remix (feat. Softcult ? whatsaheart),"""","""",""2:56"",""https://music.youtube.com/watch?v=aJ11weJXD8g&list=LM"""
"Serpent On The Cross,"""","""",""6:14"",""https://music.youtube.com/watch?v=X1-7nf87XjA&list=LM"""
"when you talk all i hear is noise (slowed),"""","""",""2:37"",""https://music.youtube.com/watch?v=g_v0Po_8OIY&list=LM"""
"Chamber Of Reflection,"""","""",""3:24"",""https://music.youtube.com/watch?v=xzL63e9Tv8Y&list=LM"""
